Species	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
Fungi;Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;?;?	17	0	1	0	24	16	8	0	18	5
Fungi;Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron;?	19	0	412	52	7	125	102	53	25	496
Fungi;Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron;Oidiodendron_chlamydosporicum	0	0	3683	1762	3100	14	0	1001	9636	5999
Fungi;Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron;Oidiodendron_echinulatum	29	0	637	829	384	695	35	39	198	357
Fungi;Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron;Oidiodendron_griseum	0	0	4	0	0	191	0	0	7	1
Fungi;Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron;Oidiodendron_maius	18	0	3	2	65	30	2	18	125	5
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;?;?	6	0	7	0	0	3	0	0	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;unidentified;?	1	0	0	0	4	1	0	0	15	18
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;unidentified;unidentified	1	0	0	0	2	0	0	0	9	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Vibrisseaceae;Phialocephala;?	0	0	0	0	0	27	1	0	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Vibrisseaceae;Phialocephala;Phialocephala_humicola	0	0	10	0	0	27	9	0	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;unidentified;?;?	27	0	596	193	647	1067	61	11	82	410
Fungi;Ascomycota;Leotiomycetes;Helotiales;unidentified;unidentified;?	72	0	13	5	24	36	31	0	46	28
Fungi;Ascomycota;Leotiomycetes;Helotiales;unidentified;unidentified;unidentified	944	0	2459	1701	919	2257	366	29	618	467
Fungi;Ascomycota;Leotiomycetes;Thelebolales;Pseudeurotiaceae;Geomyces;Geomyces_auratus	0	0	2	13	0	2	1	0	3	0
Fungi;Ascomycota;Leotiomycetes;Thelebolales;Pseudeurotiaceae;Leuconeurospora;unidentified	57	0	0	0	0	78	3	0	0	16
Fungi;Ascomycota;Orbiliomycetes;?;?;?;?	8	0	0	0	0	40	1	140	0	20
