Family	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
Fungi;Basidiomycota;?;?;?	2237	0	237	372	406	3332	753	872	511	1871
Fungi;Basidiomycota;Agaricomycetes;?;?	546	0	12889	46	5734	658	460	102	3820	482
Fungi;Basidiomycota;Agaricomycetes;Agaricales;?	1207	0	32	61	33808	745	541	11	1048	1833
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae	0	0	0	0	0	0	0	16	0	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae	370	0	431	3112	5439	301	289	27	653	399
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae	0	0	0	0	0	30	0	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae	1430	0	9596	59	800	1561	909	3	1483	4663
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Crepidotaceae	20	0	8	0	0	2	5	0	0	11
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae	64	0	16	19	153	31	20	135	14	7
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Fistulinaceae	2	0	0	0	0	0	6	0	1	1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hydnangiaceae	320	0	0	43	198	3	204	0	7	245
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae	0	0	0	0	0	100	0	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hymenogastraceae	0	0	1	0	0	8	0	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae	10965	0	41	195	516	0	899	0	114	136
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lycoperdaceae	14	0	1	0	0	87	13	11	0	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lyophyllaceae	0	0	0	7	32	0	392	380	100	4
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae	8	0	0	0	0	3	0	0	0	18
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae	0	0	1	0	0	11	0	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae	7	0	0	0	0	3	3	0	7	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae	0	0	2	11	21	11	0	21	8	7
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae	2	0	0	0	23	82	9	40	39	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales;unidentified	15	0	62	0	0	21	0	7	13	0
Fungi;Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae	1546	0	9	0	638	80	13	0	53	4
Fungi;Basidiomycota;Agaricomycetes;Auriculariales;?	23	0	6	0	0	7	20	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Auriculariales;unidentified	0	0	137	4	7	74	1	0	214	2
Fungi;Basidiomycota;Agaricomycetes;Boletales;?	3	0	3	402	74	88	8	5	63	126
Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae	6	0	0	2982	168	16	121	3	96	226
Fungi;Basidiomycota;Agaricomycetes;Boletales;Melanogastraceae	0	0	11	0	0	10	0	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Boletales;Pisolithaceae	3	0	0	0	0	0	2	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Boletales;Suillaceae	3	0	8	0	0	0	0	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Boletales;Tapinellaceae	0	0	0	89	6	0	0	21	17	0
Fungi;Basidiomycota;Agaricomycetes;Boletales;unidentified	0	0	0	0	0	0	3	18	103	16
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;?	0	0	32	19	3	20692	891	0	12	0
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Cantharellaceae	9218	0	9920	1006	906	533	32485	371	50	1
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae	0	0	21	14	3	21	0	63	0	2
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Clavulinaceae	1830	0	5	422	0	6	234	56	7	526
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae	0	0	0	34	0	0	0	0	67	0
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;unidentified	0	0	314	0	0	0	0	0	0	0
Fungi;Basidiomycota;Agaricomycetes;GS28;unidentified	0	0	1	0	0	140	0	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;?	4	0	17	0	0	36	0	0	120	0
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae	38	0	76	60	41	184	89	13	3	12
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae	5	0	0	0	0	0	13	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Jaapiales;Jaapiaceae	4	0	20	4	0	45	49	0	6	0
Fungi;Basidiomycota;Agaricomycetes;Polyporales;?	16	0	272	0	0	81	8	0	13	0
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Ganodermataceae	495	3	23	57	15	157	397	73	30	17
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Meruliaceae	0	0	0	26	3	0	0	0	0	20
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Steccherinaceae	1	0	0	0	0	2	4	15	0	3
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Xenasmataceae	10	0	179	2	21	22	30	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Polyporales;unidentified	19	0	10	40	2	18	19	90	12	16
Fungi;Basidiomycota;Agaricomycetes;Russulales;?	22	0	1	2960	603	8	2	617	67	4503
Fungi;Basidiomycota;Agaricomycetes;Russulales;Peniophoraceae	9	0	0	0	0	46	4	0	3	0
Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae	64273	0	33345	58176	18042	38428	25118	35876	62632	24341
Fungi;Basidiomycota;Agaricomycetes;Russulales;Stereaceae	7	0	0	0	0	4	0	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Sebacinales;?	0	0	2	145	0	4	0	0	58	0
Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae	0	0	0	1	8	0	0	0	44	639
Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae	385	0	1160	6	0	4156	0	0	0	86
Fungi;Basidiomycota;Agaricomycetes;Sebacinales;unidentified	0	0	0	0	0	204	0	0	0	0
Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae	6272	0	322	705	1796	440	2405	498	517	363
Fungi;Basidiomycota;Agaricomycetes;Trechisporales;?	2	0	1	0	0	3	21	26	32	187
Fungi;Basidiomycota;Agaricomycetes;Trechisporales;Hydnodontaceae	36	0	48	23	20	51	47	14	4	60
Fungi;Basidiomycota;Agaricomycetes;Trechisporales;unidentified	2	0	0	59	46	0	66	60	0	0
